X,Y,Z,Theta,Phi,Extrude,Distance
125,355,77.5,1.5707963267949,0,0,205.918066230236
25.1116560688423,351.660368312744,75.830184156372,1.5707963267949,0,1,99.9581046142203
125,355,77.5,1.5707963267949,0,1,99.9581046142203
26.0019147481707,345.040700744808,72.520350372404,1.5707963267949,0,1,99.622313944199
124.553874407739,361.664347768689,80.8321738843445,1.5707963267949,0,1,100.289185873699
27.7665454196041,338.598757108022,69.299378554011,1.5707963267949,0,1,100.163935092998
123.223458752719,368.209770093564,84.104885046782,1.5707963267949,0,1,101.03483268469
30.3740582070059,332.449494039195,66.2247470195975,1.5707963267949,0,1,101.091581553827
121.032494333821,374.519463758175,87.2597318790875,1.5707963267949,0,1,102.133760241923
33.777921982912,326.70264528347,63.351322641735,1.5707963267949,0,1,102.329959236988
118.020078963007,380.480832129596,90.240416064798,1.5707963267949,0,1,103.498104998256
37.9173947176021,321.460763493039,60.7303817465195,1.5707963267949,0,1,103.781745266925
114.239969263933,385.987494448012,92.993747224006,1.5707963267949,0,1,105.02266015032
42.7186074220599,316.817390172633,58.4086950863165,1.5707963267949,0,1,105.337241071473
109.759621383732,390.941184193896,95.470592096948,1.5707963267949,0,1,106.594646221761
48.0958823418314,312.85538642916,56.42769321458,1.5707963267949,0,1,106.883845731344
104.658987236468,395.253502656378,97.626751328189,1.5707963267949,0,1,108.102714038845
53.9532618785832,309.645454313283,54.8227271566415,1.5707963267949,0,1,108.314325047342
99.0290877593342,398.847496410334,99.423748205167,1.5707963267949,0,1,109.444440113177
60.1862209557183,307.244875139654,53.622437569827,1.5707963267949,0,1,109.533413080658
92.9703886418756,401.65903055208,100.82951527604,1.5707963267949,0,1,110.532088457046
66.6835322708435,305.696487300499,52.8482436502495,1.5707963267949,0,1,110.462712948808
86.5910075133764,403.637933188252,101.818966594126,1.5707963267949,0,1,111.296747925362
73.3292511496163,305.027921813487,52.5139609067435,1.5707963267949,0,1,111.044099847834
80.0047845812049,404.748890754425,102.374445377213,1.5707963267949,0,1,111.691102173565
80.0047845812049,305.251109245575,52.6255546227875,1.5707963267949,0,1,111.241901532105
73.3292511496163,404.972078186513,102.486039093256,1.5707963267949,0,1,111.691102173565
86.5910075133764,306.362066811748,53.181033405874,1.5707963267949,0,1,111.044099847834
66.6835322708435,404.303512699501,102.151756349751,1.5707963267949,0,1,111.296747925362
92.9703886418756,308.34096944792,54.17048472396,1.5707963267949,0,1,110.462712948808
60.1862209557183,402.755124860346,101.377562430173,1.5707963267949,0,1,110.532088457046
99.0290877593342,311.152503589666,55.576251794833,1.5707963267949,0,1,109.533413080658
53.9532618785833,400.354545686717,100.177272843359,1.5707963267949,0,1,109.444440113177
104.658987236468,314.746497343622,57.373248671811,1.5707963267949,0,1,108.314325047342
48.0958823418314,397.14461357084,98.57230678542,1.5707963267949,0,1,108.102714038845
109.759621383732,319.058815806103,59.5294079030515,1.5707963267949,0,1,106.883845731345
42.7186074220599,393.182609827367,96.5913049136835,1.5707963267949,0,1,106.594646221762
114.239969263933,324.012505551988,62.006252775994,1.5707963267949,0,1,105.337241071473
37.9173947176021,388.539236506961,94.2696182534805,1.5707963267949,0,1,105.02266015032
118.020078963007,329.519167870404,64.759583935202,1.5707963267949,0,1,103.781745266925
33.777921982912,383.29735471653,91.648677358265,1.5707963267949,0,1,103.498104998256
121.032494333821,335.480536241825,67.7402681209125,1.5707963267949,0,1,102.329959236988
30.3740582070059,377.550505960805,88.7752529804025,1.5707963267949,0,1,102.133760241923
123.223458752719,341.790229906436,70.895114953218,1.5707963267949,0,1,101.091581553827
27.7665454196041,371.401242891978,85.700621445989,1.5707963267949,0,1,101.03483268469
124.553874407739,348.335652231311,74.1678261156555,1.5707963267949,0,1,100.163935092998
26.0019147481707,364.959299255192,82.479649627596,1.5707963267949,0,1,100.289185873699
125,355,77.5,1.5707963267949,0,1,99.622313944199
25.1116560688423,358.339631687256,79.169815843628,1.5707963267949,0,1,99.9581046142203
125,355,77.5,1.5707963267949,0,1,99.9581046142203
