X,Y,Z,Theta,Phi,Extrude
125,355,50,1.5707963267949,0,0
125,355,50,1.5707963267949,0,1
124.939772810259,357.453383716371,50,1.5707963267949,0,1
124.75923633361,359.900857016478,50,1.5707963267949,0,1
124.458825498239,362.336523722768,50,1.5707963267949,0,1
124.039264020162,364.754516100806,50,1.5707963267949,0,1
123.501562659727,367.149008995163,50,1.5707963267949,0,1
122.84701678661,369.514233862723,50,1.5707963267949,0,1
122.077203259151,371.844492669611,50,1.5707963267949,0,1
121.193976625564,374.134171618254,50,1.5707963267949,0,1
120.199464656172,376.377754671514,50,1.5707963267949,0,1
119.096063217418,378.5698368413,50,1.5707963267949,0,1
117.886430500014,380.705137209661,50,1.5707963267949,0,1
116.573480615127,382.77851165098,50,1.5707963267949,0,1
115.160376574032,384.784965224622,50,1.5707963267949,0,1
113.650522668137,386.719664208182,50,1.5707963267949,0,1
112.047556267748,388.577947742351,50,1.5707963267949,0,1
110.355339059327,390.355339059327,50,1.5707963267949,0,1
108.577947742351,392.047556267748,50,1.5707963267949,0,1
106.719664208182,393.650522668137,50,1.5707963267949,0,1
104.784965224622,395.160376574032,50,1.5707963267949,0,1
102.77851165098,396.573480615127,50,1.5707963267949,0,1
100.705137209661,397.886430500014,50,1.5707963267949,0,1
98.5698368412999,399.096063217418,50,1.5707963267949,0,1
96.3777546715141,400.199464656172,50,1.5707963267949,0,1
94.1341716182545,401.193976625564,50,1.5707963267949,0,1
91.844492669611,402.077203259151,50,1.5707963267949,0,1
89.5142338627231,402.84701678661,50,1.5707963267949,0,1
87.1490089951632,403.501562659727,50,1.5707963267949,0,1
84.7545161008064,404.039264020162,50,1.5707963267949,0,1
82.3365237227681,404.458825498239,50,1.5707963267949,0,1
79.900857016478,404.75923633361,50,1.5707963267949,0,1
77.4533837163709,404.939772810259,50,1.5707963267949,0,1
75,405,50,1.5707963267949,0,1
72.5466162836291,404.939772810259,50,1.5707963267949,0,1
70.099142983522,404.75923633361,50,1.5707963267949,0,1
67.6634762772319,404.458825498239,50,1.5707963267949,0,1
65.2454838991936,404.039264020162,50,1.5707963267949,0,1
62.8509910048368,403.501562659727,50,1.5707963267949,0,1
60.4857661372769,402.84701678661,50,1.5707963267949,0,1
58.155507330389,402.077203259151,50,1.5707963267949,0,1
55.8658283817455,401.193976625564,50,1.5707963267949,0,1
53.6222453284859,400.199464656172,50,1.5707963267949,0,1
51.4301631587001,399.096063217418,50,1.5707963267949,0,1
49.2948627903389,397.886430500014,50,1.5707963267949,0,1
47.2214883490199,396.573480615127,50,1.5707963267949,0,1
45.2150347753783,395.160376574032,50,1.5707963267949,0,1
43.2803357918177,393.650522668137,50,1.5707963267949,0,1
41.4220522576491,392.047556267748,50,1.5707963267949,0,1
39.6446609406726,390.355339059327,50,1.5707963267949,0,1
37.9524437322521,388.577947742351,50,1.5707963267949,0,1
36.3494773318631,386.719664208182,50,1.5707963267949,0,1
34.8396234259678,384.784965224622,50,1.5707963267949,0,1
33.4265193848727,382.77851165098,50,1.5707963267949,0,1
32.1135694999864,380.705137209661,50,1.5707963267949,0,1
30.9039367825822,378.5698368413,50,1.5707963267949,0,1
